Date,Answer
19/06/2021,CIGAR
21/06/2021,SISSY
23/06/2021,AWAKE
25/06/2021,FOCAL
27/06/2021,NAVAL
29/06/2021,HEATH
01/07/2021,MODEL
03/07/2021,STINK
05/07/2021,QUIET
07/07/2021,ABATE
09/07/2021,MAJOR
11/07/2021,FRESH
13/07/2021,STOOL
15/07/2021,ABASE
17/07/2021,REACT
19/07/2021,PRIDE
21/07/2021,HELIX
23/07/2021,STAFF
25/07/2021,UNFED
27/07/2021,TRAWL
29/07/2021,ADOBE
31/07/2021,SOWER
02/08/2021,DIGIT
04/08/2021,CLUCK
06/08/2021,MIMIC
08/08/2021,MAXIM
10/08/2021,UNMET
12/08/2021,BOOBY
14/08/2021,FIRST
16/08/2021,BELLY
18/08/2021,SEEDY
20/08/2021,YEARN
22/08/2021,BRIBE
24/08/2021,PANEL
26/08/2021,FLUME
28/08/2021,AGREE
30/08/2021,SWIRL
01/09/2021,BLEED
03/09/2021,FLICK
05/09/2021,WOOER
07/09/2021,SHRUB
09/09/2021,BIOME
11/09/2021,START
13/09/2021,GONER
15/09/2021,LUSTY
17/09/2021,ROUND
19/09/2021,LYING
21/09/2021,LABOR
23/09/2021,CIVIC
25/09/2021,CORNY
27/09/2021,BASIC
29/09/2021,AGATE
01/10/2021,SPRAY
03/10/2021,FJORD
05/10/2021,KEBAB
07/10/2021,ABACK
09/10/2021,ALONE
11/10/2021,HYPER
13/10/2021,DOWRY
15/10/2021,BELCH
17/10/2021,PILOT
19/10/2021,COMET
21/10/2021,ENEMA
23/10/2021,ABYSS
25/10/2021,FLING
27/10/2021,BOOZY
29/10/2021,WORLD
31/10/2021,CLICK
02/11/2021,GREAT
04/11/2021,PULPY
06/11/2021,COAST
08/11/2021,GROIN
10/11/2021,GROUP
12/11/2021,BADLY
14/11/2021,PITHY
16/11/2021,CHILL
18/11/2021,VODKA
20/11/2021,SURER
22/11/2021,ROUGE
24/11/2021,RETCH
26/11/2021,CLOCK
28/11/2021,STORE
30/11/2021,BRING
02/12/2021,CHEAT
04/12/2021,EXULT
06/12/2021,EPOCH
08/12/2021,BREAK
10/12/2021,VIRAL
12/12/2021,MASSE
14/12/2021,VITAL
16/12/2021,USING
18/12/2021,CHAMP
20/12/2021,BRAKE
22/12/2021,CRAZE
24/12/2021,WEARY
26/12/2021,ACUTE
28/12/2021,ASIDE
30/12/2021,TROLL
01/01/2022,REBUS
03/01/2022,TRUSS
05/01/2022,TIGER
07/01/2022,SLUMP
09/01/2022,GORGE
11/01/2022,DRINK
13/01/2022,ABBEY
15/01/2022,PANIC
17/01/2022,SHIRE
19/01/2022,POINT
21/01/2022,PRICK
23/01/2022,CRIMP
25/01/2022,SUGAR
27/01/2022,MOUNT
29/01/2022,COULD
31/01/2022,LIGHT
02/02/2022,MOIST
04/02/2022,PLEAT
06/02/2022,SKILL
08/02/2022,FRAME
10/02/2022,PAUSE
12/02/2022,ULTRA
14/02/2022,CYNIC
16/02/2022,CAULK
18/02/2022,DODGE
20/02/2022,TACIT
22/02/2022,THORN
24/02/2022,BLOKE
26/02/2022,SPILL
28/02/2022,CHOKE
02/03/2022,NASTY
04/03/2022,AHEAD
06/03/2022,CLOTH
08/03/2022,SWEET
10/03/2022,LAPSE
12/03/2022,TODAY
14/03/2022,SMELT
16/03/2022,CATER
18/03/2022,SAUTE
20/03/2022,RENEW
22/03/2022,SLOSH
24/03/2022,CHEST
26/03/2022,EPOXY
28/03/2022,FOUND
30/03/2022,STOVE
01/04/2022,SNOUT
03/04/2022,FEWER
05/04/2022,NATAL
07/04/2022,FORAY
09/04/2022,STAIR
11/04/2022,SQUAD
13/04/2022,CHUNK
15/04/2022,SHAME
17/04/2022,AMPLE
19/04/2022,FOYER
21/04/2022,OXIDE
23/04/2022,OLIVE
25/04/2022,ASKEW
27/04/2022,SHOWN
29/04/2022,TRASH
01/05/2022,FORGO
03/05/2022,HAIRY
05/05/2022,HOMER
07/05/2022,MIDST
09/05/2022,SHINE
11/05/2022,FARCE
13/05/2022,TIPSY
15/05/2022,YIELD
17/05/2022,BEING
19/05/2022,GLASS
21/05/2022,SCRAP
23/05/2022,HINGE
25/05/2022,VOUCH
27/05/2022,TIARA
29/05/2022,BAYOU
31/05/2022,MANOR
02/06/2022,SHOWY
04/06/2022,FROTH
06/06/2022,GLOOM
08/06/2022,TRAIT
10/06/2022,PIETY
12/06/2022,FLOAT
14/06/2022,ATONE
16/06/2022,APRON
18/06/2022,CACAO
20/06/2022,INPUT
22/06/2022,AWFUL
24/06/2022,SMITE
26/06/2022,RUSTY
28/06/2022,DROLL
30/06/2022,HUTCH
02/07/2022,GAILY
04/07/2022,LILAC
06/07/2022,FLUFF
20/06/2021,REBUT
22/06/2021,HUMPH
24/06/2021,BLUSH
26/06/2021,EVADE
28/06/2021,SERVE
30/06/2021,DWARF
02/07/2021,KARMA
04/07/2021,GRADE
06/07/2021,BENCH
08/07/2021,FEIGN
10/07/2021,DEATH
12/07/2021,CRUST
14/07/2021,COLON
16/07/2021,MARRY
18/07/2021,BATTY
20/07/2021,FLOSS
22/07/2021,CROAK
24/07/2021,PAPER
26/07/2021,WHELP
28/07/2021,OUTDO
30/07/2021,CRAZY
01/08/2021,REPAY
03/08/2021,CRATE
05/08/2021,SPIKE
07/08/2021,POUND
09/08/2021,LINEN
11/08/2021,FLESH
13/08/2021,FORTH
15/08/2021,STAND
17/08/2021,IVORY
19/08/2021,PRINT
21/08/2021,DRAIN
23/08/2021,STOUT
25/08/2021,CRASS
27/08/2021,OFFAL
29/08/2021,ERROR
31/08/2021,ARGUE
02/09/2021,DELTA
04/09/2021,TOTEM
06/09/2021,FRONT
08/09/2021,PARRY
10/09/2021,LAPEL
12/09/2021,GREET
14/09/2021,GOLEM
16/09/2021,LOOPY
18/09/2021,AUDIT
20/09/2021,GAMMA
22/09/2021,ISLET
24/09/2021,FORGE
26/09/2021,MOULT
28/09/2021,SALAD
30/09/2021,SPICY
02/10/2021,ESSAY
04/10/2021,SPEND
06/10/2021,GUILD
08/10/2021,MOTOR
10/10/2021,HATCH
12/10/2021,THUMB
14/10/2021,OUGHT
16/10/2021,DUTCH
18/10/2021,TWEED
20/10/2021,JAUNT
22/10/2021,STEED
24/10/2021,GROWL
26/10/2021,DOZEN
28/10/2021,ERODE
30/10/2021,GOUGE
01/11/2021,BRIAR
03/11/2021,ALTAR
05/11/2021,BLURT
07/11/2021,DUCHY
09/11/2021,FIXER
11/11/2021,ROGUE
13/11/2021,SMART
15/11/2021,GAUDY
17/11/2021,HERON
19/11/2021,FINER
21/11/2021,RADIO
23/11/2021,PERCH
25/11/2021,WROTE
27/11/2021,TILDE
29/11/2021,PROVE
01/12/2021,SOLVE
03/12/2021,GRIME
05/12/2021,USHER
07/12/2021,TRIAD
09/12/2021,RHINO
11/12/2021,CONIC
13/12/2021,SONIC
15/12/2021,TRACE
17/12/2021,PEACH
19/12/2021,BATON
21/12/2021,PLUCK
23/12/2021,GRIPE
25/12/2021,PICKY
27/12/2021,FERRY
29/12/2021,TAPIR
31/12/2021,UNIFY
02/01/2022,BOOST
04/01/2022,SIEGE
06/01/2022,BANAL
08/01/2022,CRANK
10/01/2022,QUERY
12/01/2022,FAVOR
14/01/2022,TANGY
16/01/2022,SOLAR
18/01/2022,PROXY
20/01/2022,ROBOT
22/01/2022,WINCE
24/01/2022,KNOLL
26/01/2022,WHACK
28/01/2022,PERKY
30/01/2022,WRUNG
01/02/2022,THOSE
03/02/2022,SHARD
05/02/2022,ALOFT
07/02/2022,ELDER
09/02/2022,HUMOR
11/02/2022,ULCER
13/02/2022,ROBIN
15/02/2022,AROMA
17/02/2022,SHAKE
19/02/2022,SWILL
21/02/2022,OTHER
23/02/2022,TROVE
25/02/2022,VIVID
27/02/2022,CHANT
01/03/2022,RUPEE
03/03/2022,MOURN
05/03/2022,BRINE
07/03/2022,HOARD
09/03/2022,MONTH
11/03/2022,WATCH
13/03/2022,FOCUS
15/03/2022,TEASE
17/03/2022,MOVIE
19/03/2022,ALLOW
21/03/2022,THEIR
23/03/2022,PURGE
25/03/2022,DEPOT
27/03/2022,NYMPH
29/03/2022,SHALL
31/03/2022,LOWLY
02/04/2022,TROPE
04/04/2022,SHAWL
06/04/2022,COMMA
08/04/2022,SCARE
10/04/2022,BLACK
12/04/2022,ROYAL
14/04/2022,MINCE
16/04/2022,CHEEK
18/04/2022,FLAIR
20/04/2022,CARGO
22/04/2022,PLANT
24/04/2022,INERT
26/04/2022,HEIST
28/04/2022,ZESTY
30/04/2022,LARVA
02/05/2022,STORY
04/05/2022,TRAIN
06/05/2022,BADGE
08/05/2022,CANNY
10/05/2022,GECKO
12/05/2022,SLUNG
14/05/2022,METAL
16/05/2022,DELVE
18/05/2022,SCOUR
20/05/2022,GAMER
22/05/2022,MONEY
24/05/2022,ALBUM
26/05/2022,ASSET
28/05/2022,CREPT
30/05/2022,ATOLL
01/06/2022,CREAK
03/06/2022,PHASE
05/06/2022,DEPTH
07/06/2022,FLOOD
09/06/2022,GIRTH
11/06/2022,GOOSE
13/06/2022,DONOR
15/06/2022,PRIMO
17/06/2022,BLOWN
19/06/2022,LOSER
21/06/2022,GLOAT
23/06/2022,BRINK
25/06/2022,BEADY
27/06/2022,RETRO
29/06/2022,GAWKY
01/07/2022,PINTO
03/07/2022,EGRET
05/07/2022,FIELD
07/07/2022,AGAPE
